Item_Identifier,Outlet_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,years,Item_Outlet_Sales
FDA15,OUT049,0.46205124259677666,1.0,0.04886645352965088,0.6666666666666666,0.9691475723649647,1.0,0.0,1.0,0.5586639656001173,0.790122564625758
DRC01,OUT018,0.16967016526732137,0.6666666666666666,0.058705077339707916,0.25,0.20223402830949833,1.0,1.0,0.0,0.0,0.43341427218113215
FDN15,OUT049,0.8712794632875336,1.0,0.051036957937098795,0.16666666666666666,0.7043677019598915,1.0,0.0,1.0,0.5586639656001173,0.6935144016576281
FDX07,OUT010,0.9312922968130071,0.6666666666666666,0.0,1.0,0.8216485416630035,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.5174059254901812
NCD19,OUT013,0.43577126039860925,1.0,0.0,0.8333333333333333,0.25337411039648616,0.0,1.0,1.0,0.9491638012385146,0.5686514926714771
FDP36,OUT018,0.534104992400456,0.6666666666666666,0.0,0.5,0.23155948713076135,1.0,1.0,0.0,0.0,0.47146826779652773
FDO10,OUT013,0.7104449578545042,0.6666666666666666,0.03879853899017947,0.9166666666666666,0.2851575401932993,0.0,1.0,1.0,0.9491638012385146,0.39069950874661974
FDP10,OUT027,0.6586315517838741,1.0,0.38816495331655726,0.9166666666666666,0.5769115503243474,1.0,1.0,0.3333333333333333,1.0,0.8025401971224041
FDH17,OUT045,0.821312911552915,0.6666666666666666,0.05081478068025188,0.75,0.5276944257390901,0.6666666666666666,0.5,1.0,0.42548300017898155,0.5818945412389166
FDU28,OUT017,0.9312922968130071,0.6666666666666666,0.2876132566236265,0.75,0.8360933840357729,0.6666666666666666,0.5,1.0,0.14432907008854023,0.8289595685230192
FDY07,OUT049,0.6161689873185427,1.0,0.0,1.0,0.17508340832708424,1.0,0.0,1.0,0.5586639656001173,0.6391894228596221
FDA03,OUT046,0.9072510507919451,0.6666666666666666,0.1384440505345476,0.6666666666666666,0.7125061354247424,0.3333333333333333,0.0,1.0,0.6372605002446154,0.7005387391100949
FDX32,OUT049,0.7757954947655119,0.6666666666666666,0.30455620232260483,1.0,0.7169150791310233,1.0,0.0,1.0,0.5586639656001173,0.6470865860370175
FDS46,OUT046,0.874967917743821,0.6666666666666666,0.14390569620694904,0.9166666666666666,0.6258399193066544,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6972973606837517
FDF32,OUT013,0.8272790552210192,1.0,0.2071442602614004,1.0,0.8570302138256833,0.0,1.0,1.0,0.9491638012385146,0.6836651602350156
FDP49,OUT046,0.4408256687213774,0.6666666666666666,0.2103863136933969,0.3333333333333333,0.27454031921191313,0.3333333333333333,0.0,1.0,0.6372605002446154,0.6426093523755508
NCB42,OUT018,0.6161689873185427,1.0,0.026176272678502695,0.41666666666666663,0.6086522009946402,1.0,1.0,0.0,0.0,0.6504879271228942
FDP49,OUT049,0.4408256687213774,0.6666666666666666,0.21071340858031198,0.3333333333333333,0.2576848753705274,1.0,0.0,1.0,0.5586639656001173,0.5141794235191494
DRI11,OUT027,0.6586315517838741,1.0,0.10425890910976023,0.0,0.6002215336379004,1.0,1.0,0.3333333333333333,1.0,0.7092265427304841
FDU02,OUT035,0.6960594323787082,1.0,0.31210397431539433,0.6666666666666666,0.9316889000143473,0.3333333333333333,0.5,1.0,0.3237224473450442,0.7387747589608761
FDN22,OUT013,0.919383277511691,0.6666666666666666,0.4208102502265074,0.9166666666666666,0.9711288895498833,0.0,1.0,1.0,0.9491638012385146,0.791903313467638
FDW12,OUT027,0.6586315517838741,0.6666666666666666,0.10779810836929646,0.5,0.7139096330461889,1.0,1.0,0.3333333333333333,1.0,0.8042491048306714
NCB30,OUT035,0.7539980816252998,1.0,0.07825469659413388,0.8333333333333333,0.8571864521298611,0.3333333333333333,0.5,1.0,0.3237224473450442,0.6468760781755528
FDC37,OUT019,0.6586315517838741,1.0,0.17526974586400595,0.5,0.5766153418081608,0.3333333333333333,0.0,0.6666666666666666,1.0,0.3117664404782666
FDR28,OUT046,0.7198607166744853,0.6666666666666666,0.07885870532582402,0.75,0.77571697229933,0.3333333333333333,0.0,1.0,0.6372605002446154,0.8048239954213413
NCD06,OUT017,0.6788620109272943,1.0,0.3041713043807773,0.8333333333333333,0.17881574121253996,0.6666666666666666,0.5,1.0,0.14432907008854023,0.5401375841932371
FDV10,OUT035,0.33520036471727344,0.6666666666666666,0.2030915815621081,0.9166666666666666,0.1407738553455682,0.3333333333333333,0.5,1.0,0.3237224473450442,0.5801254170237607
DRJ59,OUT013,0.6078875693922507,0.0,0.058942343319402325,0.0,0.10414738617452546,0.0,1.0,1.0,0.9491638012385146,0.3729190986143469
FDE51,OUT010,0.17021665918384232,0.6666666666666666,0.49168996582695085,0.6666666666666666,0.17475958145056203,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.2810397859299937
FDC14,OUT019,0.6586315517838741,0.6666666666666666,0.21992628432620498,0.5833333333333333,0.15525745813771863,0.3333333333333333,0.0,0.6666666666666666,1.0,0.22258092285416597
FDV38,OUT010,0.9329758400394026,1.0,0.5187370481356873,0.6666666666666666,0.2698333618937767,0.6666666666666666,1.0,0.6666666666666666,0.5988556832143641,0.26670202278239985
NCS17,OUT018,0.9107406657425463,1.0,0.2461376371433965,0.41666666666666663,0.5251425241316521,1.0,1.0,0.0,0.0,0.7383687708587555
FDP33,OUT018,0.9142115695311255,1.0,0.0,0.9166666666666666,0.9817822692904943,1.0,1.0,0.0,0.0,0.7571876781788834
FDO23,OUT045,0.8840981397064664,1.0,0.0,0.08333333333333333,0.5089001761545462,0.6666666666666666,0.5,1.0,0.42548300017898155,0.6995677739584568
